phrase,region_id,region_name,count,types,seeds,analysis_status,query_type,query_confidence,query_source,next_action,intent_id,intent_title,intent_score,matched_keywords
"полусухая стяжка для теплого водяного пола","11318","Омская область","6","top","полусухая стяжка","assigned","informational","low","intent-default","guide","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"полусухая стяжка на пеноплекс","66","Омск","6","top","полусухая стяжка","assigned","commercial","medium","commercial-head","landing","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"полусухая стяжка на пеноплекс","11318","Омская область","6","top","полусухая стяжка","assigned","commercial","medium","commercial-head","landing","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"полусухая стяжка перепады","66","Омск","6","top","полусухая стяжка","assigned","commercial","medium","commercial-head","landing","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"полусухая стяжка перепады","11318","Омская область","6","top","полусухая стяжка","assigned","commercial","medium","commercial-head","landing","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"полусухая стяжка пола в доме","66","Омск","6","top","полусухая стяжка","assigned","informational","low","intent-default","guide","S01","Полусухая или мокрая стяжка","8","полусух* стяжк*|стяжка пола"
"полусухая стяжка пола в доме","11318","Омская область","6","top","полусухая стяжка","assigned","informational","low","intent-default","guide","S01","Полусухая или мокрая стяжка","8","полусух* стяжк*|стяжка пола"
"полусухая стяжка пола технология","11318","Омская область","6","top","полусухая стяжка","assigned","commercial","medium","commercial-head","landing","S01","Полусухая или мокрая стяжка","8","полусух* стяжк*|стяжка пола"
"полусухая стяжка сколько нужно цемента","11318","Омская область","6","top","полусухая стяжка","assigned","informational","high","signals","guide","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"полусухая стяжка сколько цемента и песка","11318","Омская область","6","top","полусухая стяжка","assigned","informational","high","signals","guide","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"полусухая стяжка сохнет","66","Омск","6","top","полусухая стяжка","assigned","commercial","medium","commercial-head","landing","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"поставить баню на участке","66","Омск","6","top","баня на участок","unassigned","commercial","medium","commercial-head","landing","","","",""
"продажа бани под ключ","11318","Омская область","6","top","баня под ключ","assigned","commercial","high","signals","landing","B01","Готовая баня как альтернатива долгой стройке","6","бан* под ключ"
"продажа каркасных бань","11318","Омская область","6","top","каркасная баня","assigned","commercial","high","signals","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"промыть скважину после бурения","11318","Омская область","6","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"расчеты бурении скважин","66","Омск","6","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"расчеты бурении скважин","11318","Омская область","6","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"регистрируем баню на земельном участке","11318","Омская область","6","top","баня на участок","unassigned","unmapped","none","none","hold","","","",""
"сарай баня на участке","11318","Омская область","6","top","баня на участок","unassigned","commercial","medium","commercial-head","landing","","","",""
"скважина бурение аква","66","Омск","6","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"скважина бурение аква","11318","Омская область","6","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"скважина бурение цена за метр","11318","Омская область","6","top","бурение скважин","unassigned","commercial","medium","signals","landing","","","",""
"стоимость бурения под скважину","11318","Омская область","6","top","бурение скважин","unassigned","commercial","medium","signals","landing","","","",""
"стоимость бурения скважины","66","Омск","6","top","бурение скважин","unassigned","commercial","high","signals","landing","","","",""
"стяжка полусухой работу","11318","Омская область","6","top","полусухая стяжка","unassigned","unmapped","none","none","hold","","","",""
"схема каркасной бани 2 на 4","11318","Омская область","6","top","каркасная баня","assigned","informational","low","intent-default","guide","B03","Квадро или каркасная баня","4","каркасн* бан*"
"тип бурения скважин","66","Омск","6","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"тип бурения скважин","11318","Омская область","6","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"толщина стен каркасной бани","66","Омск","6","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
