phrase,region_id,region_name,count,types,seeds,analysis_status,query_type,query_confidence,query_source,next_action,intent_id,intent_title,intent_score,matched_keywords
"новый дипсик","225","Россия","7046","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"chat deepseek com","225","Россия","7039","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"нейросеть 18 бесплатно","225","Россия","6917","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"песня через нейросеть бесплатно","225","Россия","6896","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"gemini подписка","225","Россия","6785","top","gemini","assigned","commercial","medium","signals","landing","MD04","Gemini","2","gemini*"
"сгенерировать фото в нейросети бесплатно","225","Россия","6770","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"gemini как пользоваться","225","Россия","6752","top","gemini","assigned","informational","high","signals","guide","MD04","Gemini","2","gemini*"
"нейросеть официальный сайт бесплатно","225","Россия","6739","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"ии фото нейросеть создать фото бесплатно","225","Россия","6725","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"улучшить фото нейросеть бесплатно","225","Россия","6716","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
